userName,score,at,content,sentimen
ine hasanah,5,2024-02-10 05:10:00,sangat sangat membantu banget,POSITIVE
Andy Bnb,1,2024-02-10 05:05:29,"Kalo blm premium ga bisa di ambil, harusnya jangan nerima kiriman dulu donk..",NEGATIVE
Fatma Cantika,4,2024-02-10 05:05:03,Gue kasih bintang lima kalo dapet saldo 1 JT dari dana wkwkkwkwk,NEUTRAL
Neavez Rendhie nze,1,2024-02-10 05:02:46,Asal topup saldo dri bank kenapa harus ada potongan 500? Perbaiki lagi lah,NEGATIVE
Zaki Ismi,5,2024-02-10 05:01:29,bagus,POSITIVE
Dulzoni,4,2024-02-10 04:59:25,bagus,POSITIVE
Den Azi,5,2024-02-10 04:57:32,mantap,POSITIVE
Bola Maulana,4,2024-02-10 04:54:30,praktis & cepat,NEGATIVE
Fendi Kurniawan,5,2024-02-10 04:54:25,bagus,POSITIVE
Muhamad Aji,4,2024-02-10 04:52:17,4 dulu dehh soalnya masih banyak bug,NEGATIVE
rohiman 1980,5,2024-02-10 04:51:00,Nyaman dan terpercaya,POSITIVE
Rahmad Aza,5,2024-02-10 04:50:28,Ok,POSITIVE
Dadang Dadang,5,2024-02-10 04:48:52,Mantap,POSITIVE
Bagas Sanjaya,3,2024-02-10 04:47:48,"Tolong ini kenapa bukti transaksi g bisa di tampilin, sama riwayat transaksi jg, error terus, bukan cuma saya teman"" saya yang lain jg mengalaminya",NEGATIVE
Rafy Cool,5,2024-02-10 04:45:34,Bedebest,POSITIVE
Nano Suferdy,5,2024-02-10 04:42:42,Pelayanan cepat dan sangat membantu,POSITIVE
rizal Akhmad,1,2024-02-10 04:42:11,Hoooy uang saya belum di kembalikan 1.030.000 tolong dong di kembalikan sudah 9 bulan gak ada kabarnya,NEGATIVE
Silvanus Mepry,5,2024-02-10 04:41:50,cukup baikk,POSITIVE
iin Marlina,5,2024-02-10 04:36:47,Puas; TERBAIK 👍👍👍,NEUTRAL
Farid Hidayat,5,2024-02-10 04:36:27,"Tiba tiba saldo dana ku menghilang,Giman cara mengembalikan kan saldo dana",NEUTRAL
Trisnawan Soulmate,1,2024-02-10 04:34:17,"Sedikit pertimbangan dari pengalaman saya buat yang mau instal apk ini. Saya pake dana bertaun taun dan udah percaya. Kadang saldo saya diatas 2jt. Tapi kali ini saya udah ga percaya, karna sistem keamanannya gagal. Akun saya tiba tiba melakukan pembayaran senilai 1.1jt. udah saya laporin ke pihak dana. Karna status pembayaran saldo masih di tahan oleh dana. Tapi tidak terselesaikan. Good bye dana. Saya uninstal aplikasinya.",NEGATIVE
M Darussalam,1,2024-02-10 04:28:22,"Saldo ko bs hilang yah? Bagi pengguna DANA, hati2 aja Nmpaknya aplikasi DANA sdh mulai gk aman. Pdhl stiap transaksi kan menggunaka kode PIN. ko aneh, saldo 100-000 bisa lenyap. Mo mengghubungi CS DANA jg susah Ada layanan bantuan tp gk efektif, yg jwb robot Nanya apa jwbnya apa. Mulai detik saya dah percaya lg, aplikasi2 model begini.",NEGATIVE
Muara Enim,1,2024-02-10 04:27:42,Gimana caranya mengembalikan saldo dana yang no nya sudah hilang... Beserta hp nya..????,NEUTRAL
Masratun yanto,5,2024-02-10 04:27:35,sangat membantu walaupun sy jarang menggunakan.. pas kirim keluarga yg jauh sangat membantu,POSITIVE
Putri Putri agustina,5,2024-02-10 04:26:37,siip,NEGATIVE
haaeemwee,1,2024-02-10 04:26:28,Parah... Dah ga bisa buat Android 5.1 😡😡😡😡😡,NEGATIVE
siti rifa'atulmahmuda,5,2024-02-10 04:25:25,Dana cicil nya gk ad,NEUTRAL
Haris Glewo,5,2024-02-10 04:24:21,Angpao nya bos ku,NEGATIVE
Samin Grati4,5,2024-02-10 04:23:53,sangat 2 bermanfaat sekali,POSITIVE
ZZN WHB,5,2024-02-10 04:23:47,Ok,POSITIVE
Aep Saepudin,5,2024-02-10 04:23:44,mantap,POSITIVE
Richie eM,5,2024-02-10 04:23:06,"Halo, Luno. Kok akun saya gak bisa masuk. Masih ada dana di akun. Verifikasi no HP yang gak bisa. karena no HP 13 angka. Email CS pun tidak ada. Chat CS jg ga ada. Jadi mesti gimana?",NEGATIVE
Ipnu Dwi,5,2024-02-10 04:23:02,Sangat bagus sekali,POSITIVE
Rudi Setiawan Setiawan,5,2024-02-10 04:20:03,sangat puas sekali,POSITIVE
Adi Sanjaya,5,2024-02-10 04:17:19,Mantap aplikasi pengirim keuangan sangat berguna,POSITIVE
Hendry Abel,4,2024-02-10 04:13:52,sangat bagus dan aman bagi yg mau nyimpan buat blqnjq,NEGATIVE
dandankurnia kurnia,5,2024-02-10 04:12:31,mantap 👍👍👍👍👍👍,POSITIVE
Muhammad Fahri Fadilah,1,2024-02-10 04:12:16,"Penyesalan terbesar gw ngisi saldo di apk ini, mau upgrade premium harus nunggu sehari udh gitu gagal Mulu mau coba lagi masa ga bisa, padahal e KTP gw udh bner foto selfie-nya juga jelas, tapi masih aja g bisa. Nih ya yg mau nabung di e wallet lebih baik jangan di apk dana mending yg laen aja apk lawak ini mah",NEGATIVE
AripRip Ariparip,3,2024-02-10 04:11:32,Manis,NEGATIVE
Vivi Anggraini. Liie,1,2024-02-10 04:11:17,pelayanan yang burukn,NEGATIVE
Jefri Jr,1,2024-02-10 04:10:19,"Ini dana kayak taii ajh. Saya gk bisa loading masuk. Syg bgtt livecatnya sungguh sangat tidak membantu. Saya punya saldo di dlm gak bisa ngapa ngapain. Dulu sy nyaman bgtt. Tapi kok makin aneh hari ke hari, dananya mengusahakan . Responnya sangt mengecewakan bgttt. Jjur aku kecewa bgttt apak ewalet satu ini",NEGATIVE
Made Rastini,5,2024-02-10 04:10:06,Bagussakali,NEGATIVE
Rian Ridkiansyah,1,2024-02-10 04:09:39,"Aplikasi pencuri, saldo saya tiba"" hilang 1jt, dan tidak ada riwayat transaksi apapun",NEUTRAL
Muhammad irpan 99,3,2024-02-10 04:08:22,Kalian ada bisa undian apa saya dapet 2 jt,NEUTRAL
RIDHO GIMANG,4,2024-02-10 04:07:07,mantap,POSITIVE
Ade S Ibep,5,2024-02-10 04:06:52,ok bagus jd lebih gampang,NEGATIVE
Maulana Farid,1,2024-02-10 04:06:40,Gak bisa login ke dana,NEUTRAL
Rendy Rendycoll,5,2024-02-10 04:06:24,Puas,POSITIVE
Adededek Dudisetiadi,5,2024-02-10 04:04:55,semuanya jadi mudah👍,POSITIVE
doni zatnika,2,2024-02-10 04:04:06,"Tidak bisa log in tidak bisa kebuka masuk Home,tidak ada verifikasi lewat SMS atau WhatsApp",NEUTRAL
Idewa Gede putra,5,2024-02-10 04:02:57,Jelek,NEGATIVE
Eko Prastiono,4,2024-02-10 04:02:43,sangat membantu,POSITIVE
Alvin Alvin,5,2024-02-10 04:00:52,top,POSITIVE
Putri Hidayah,5,2024-02-10 03:58:52,aplikasi yg bagus bagi saya,POSITIVE
samsul koreng,4,2024-02-10 03:58:26,sangat bermanfaat,POSITIVE
Putry Chiuty,5,2024-02-10 03:53:37,Mantap,POSITIVE
Emiya Shirou,2,2024-02-10 03:50:32,"Tidak menerima notifikasi verifikasi, mohon solusinya",NEUTRAL
bondez 56,1,2024-02-10 03:50:22,Tolol g bisa di buka aplikasinya,NEUTRAL
Nia Wati,4,2024-02-10 03:50:16,Aplikasi bagus tolong bantu dong saldo dana kepotong otomatis Mulu ya dr google knp itu tolong respon terimakasih,POSITIVE
wong malang,5,2024-02-10 03:48:11,sangat membantu !!!!! .,POSITIVE
holi li,5,2024-02-10 03:47:30,"Dana mengalami bug, dana saya gagal verifikasih login perangkat, karna hp satunya matot, solusi gimana",NEUTRAL
Mauren Rizky,5,2024-02-10 03:47:30,Sudah bisa verified dikirim kode ke whatsapp Good Terima kasih Danaa Saya bisa pakai lagi akun saya😁,NEUTRAL
Angelita Dama,1,2024-02-10 03:47:15,Kembalikan saldo nasabah,NEUTRAL
Tatan Hardian,2,2024-02-10 03:46:46,baguzz,POSITIVE
Romi Azka,5,2024-02-10 03:46:17,langsung cepat,POSITIVE
Valdy Dunggio,1,2024-02-10 03:46:08,"ngapain di kasih kode otp ga jelas,lebih enak versi lama masukin nomor,nomor pin udah selesai gapake otp bikin ribet yang nomor nya udah hilang",NEGATIVE
Anggi Ok,3,2024-02-10 03:43:48,blug,POSITIVE
Muhammdpahri Pahri,5,2024-02-10 03:42:54,Sangat mudah,POSITIVE
Ilham Gaming,1,2024-02-10 03:41:49,Kak akun dana saya kok malah gak bisa di bukak,NEGATIVE
Miswanto Hadi Saputro,5,2024-02-10 03:40:01,keren,POSITIVE
Heni Martabak,5,2024-02-10 03:38:28,ok,NEGATIVE
Sendi Bengbeng16,5,2024-02-10 03:35:52,matep,POSITIVE
Widi Santoso,5,2024-02-10 03:35:46,Good,POSITIVE
Januar Irvan,5,2024-02-10 03:35:46,"Jelas sy sudah foto KTP Sama SIM tetap aja masih dalam proses , sampai kapan dalam prosesnya tahun dpn apa bank dana",NEUTRAL
Yoga Pratama,5,2024-02-10 03:35:40,suka banget sama aplikasi ini 😍😍👍👍,POSITIVE
Stabita Stabita,5,2024-02-10 03:33:23,sangat membantu sekali..,POSITIVE
Adhera Saputra,5,2024-02-10 03:33:05,sngat bagus,POSITIVE
Siti Holipah,4,2024-02-10 03:32:40,suka bgt...........,POSITIVE
Fery,5,2024-02-10 03:31:13,sangat membantu,POSITIVE
Sadewa Sadewa,3,2024-02-10 03:30:43,DANA PREMIUM,NEUTRAL
jaenal maruf,5,2024-02-10 03:30:10,Lumayan baghus banyak membantu,POSITIVE
Rara Rafi,5,2024-02-10 03:28:53,Suka,POSITIVE
Puji Nur ahmadi,5,2024-02-10 03:28:45,Mantap,POSITIVE
Sepri Yana,4,2024-02-10 03:27:32,plis lah dana jan pake verifikasi wajah lolot banget gak harus 1 kali suka 4 kali verifikasi alasan poto kurang jelas lah hp saya kamera nya jernih anjingg,POSITIVE
seldi bahtiar,1,2024-02-10 03:26:14,Aplikasi pencuri tidak pernah bertanggung jawab refund nya management selalu lari🤣,POSITIVE
Nisa Alfath,4,2024-02-10 03:24:13,mantab,POSITIVE
Tomi Prihatin,5,2024-02-10 03:23:57,sangat bagus,POSITIVE
Rahayu Tias,5,2024-02-10 03:22:52,Alhamdulillah sangat membantu segsla transaksi online,POSITIVE
pace sw,3,2024-02-10 03:22:43,Saya kok tidak bisa login di dana saya verivikasi trus,NEGATIVE
Andri Syahptra,5,2024-02-10 03:21:13,terimakasih segera saya tunggu Ampao nya dong🙏🙏,NEUTRAL
Moh Saifudin,4,2024-02-10 03:17:35,Trnsaksi jadi mudah semua pasti suka,POSITIVE
Safaad Sadad,1,2024-02-10 03:16:39,bsgus,POSITIVE
Hery wahyoo,2,2024-02-10 03:15:38,upgrade premium agak ribet,NEGATIVE
sarwanto sarwanto,5,2024-02-10 03:13:44,pembaruan kok malah ilang apkny penyebabnya apa d unduh lg g bisa,NEGATIVE
Doompu Lalai,5,2024-02-10 03:11:49,Puas,POSITIVE
Bustanul rizki Aditya,1,2024-02-10 03:10:56,Kecewa total sama danaaa,NEGATIVE
Muhammad Dani,5,2024-02-10 03:10:13,okey sih,NEGATIVE
Jihan Alifah,5,2024-02-10 03:09:11,"alhamdulillah semenjak ada dana semua jadi mudah buat beli pulsa,data dan bayar yg lain nya",POSITIVE
Wahyu Grabcar2022,5,2024-02-10 03:08:59,enak bisa kirim ga pake ribet,POSITIVE
Wiliam Kosasih,5,2024-02-10 03:06:55,sangat puas,POSITIVE
Miftahuljannah Miftahul,5,2024-02-10 03:04:06,mantap,POSITIVE
Harum Kusuma,1,2024-02-10 03:03:43,"pin suka salah padahal udah d pastikan itu pin saya masih ttep ga bs masuk k akun alhasil ganti ganti pin trus ,pas udah ganti masuk salah lahi ,heran",NEGATIVE
Erwien Putra tiga,5,2024-02-10 03:03:25,semoga tidak mengecewakan,POSITIVE
Orang Kampung (Boiel),2,2024-02-10 03:01:02,"Bikin premium Data dah Lengkap banget katanya nunggu 1 hari kerja , eh dah berhari hari kagak ada penjelasan t4i ta1 ta1 , gak berguna",NEGATIVE
rizki taufik hidayat,1,2024-02-10 03:00:15,"Mana janji nya uang saya kembalikan, sudah lewat email dan Diana ,, aplikasi maling, sakit hati pas cek di YouTube banyak yang hilang juga, sudah klaim lewat berbagai aplikasi percuma ga ada jawaban jelas kalau uang saya di kembalikan saya refisi kata2 saya,, kalau tidak di kembalikan semoga di tutup aplikasi ini, sebelum banyak korban",NEGATIVE
Lienlien Lienlien,5,2024-02-10 03:00:04,"Bagus,sangat membantu",POSITIVE
Bro Pangrib,1,2024-02-10 03:00:01,Kadang termakan sendiri dana nya gak ada di buka tapi bisa jalan sendiri,NEUTRAL
Kareway Hariani,5,2024-02-10 02:57:52,Selalu puas pakai DANA,POSITIVE
Doni Satriawan,5,2024-02-10 02:57:29,sangat puas,POSITIVE
Reno Sumarno,5,2024-02-10 02:57:29,aplikasi bagus bisa menghemat biaya transaaksi,POSITIVE
Mangodoy,1,2024-02-10 02:56:31,"mending pake aplikasi ono , dana mau upgrade premium aja lama , chat dengan robort ga jelas suruh nunggu 5 hari keburu belanda datang ahahaa",NEGATIVE
singkit Jih,5,2024-02-10 02:53:38,mantap,POSITIVE
Adi Landri,5,2024-02-10 02:52:51,Sangat mudah untuk transaksi dan selalu aman,POSITIVE
Masnyo 01,5,2024-02-10 02:51:28,smart,POSITIVE
Hadi Cahyana,5,2024-02-10 02:50:37,bagus,POSITIVE
M. N. Kautsar,1,2024-02-10 02:49:35,"Saya tidak beli asuransi apa pun, tp auto diikutkan dalam pembayaran di dana. Kecewa.......",NEGATIVE
Refa Erllangga27,5,2024-02-10 02:47:25,bagus,POSITIVE
Su Yanto,5,2024-02-10 02:46:19,Mantap jiwa,POSITIVE
Ayu Soraya,5,2024-02-10 02:43:52,baik,POSITIVE
irfin ahmat,1,2024-02-10 02:42:28,tolong diupdate nomer cs dana via whatsapp yg bisa dihubungi,NEUTRAL
Trisna wijaya,5,2024-02-10 02:41:50,sangat membantu,POSITIVE
Ato Harto,5,2024-02-10 02:41:45,sangat membantu,POSITIVE
Zeinal Arifin,1,2024-02-10 02:40:49,Aplikasi yatim anj tulisannya jaringan Mulu,NEUTRAL
Maria Luruk,1,2024-02-10 02:40:39,"Hati - hati gunakan aplikasi ini,,, aplikasi ini melakukan transaksi pengiriman uang tanpa sepengetahuan pemilik akun,, dan kalau tidak ada tindak lanjuti",NEUTRAL
Hery Prasetyo,4,2024-02-10 02:38:04,"Buat transaksi kemana aja gampang, Buat transfer ke keluarga jdi mudah",POSITIVE
Nazar Jr,5,2024-02-10 02:37:01,sangat membantu,POSITIVE
Gustian Irgi,3,2024-02-10 02:36:32,"Mohon dengan sangat kenapa aplikasi saya gbisa masuk terus dan harus vertikasi akun dana sedangkan dananya aja gbisa dibuka, dan kenapa harus kirim kode otp melalu SMS sedangkan nomor nyah udah non aktif",NEGATIVE
Yudi Reliawan,5,2024-02-10 02:36:25,Ambyar,POSITIVE
Aurelia Debora Silangen,5,2024-02-10 02:35:01,Good,POSITIVE
Lakanapadoli Padoli,5,2024-02-10 02:34:53,aku puas dgn lyni dan,POSITIVE
Dirsan Iccank091,1,2024-02-10 02:32:26,Eror mulu,NEGATIVE
Dede Ismaya,5,2024-02-10 02:31:46,memudahkan,POSITIVE
Moli Ana,5,2024-02-10 02:30:32,sangat baik,POSITIVE
Enno Boat,3,2024-02-10 02:30:08,sangat membatu,POSITIVE
Alvino Noveliyando,3,2024-02-10 02:28:52,kok harus ngeunaka ktp blm cukup umur hdehh,NEGATIVE
manyeti endah,4,2024-02-10 02:27:30,mantap,POSITIVE
Agustinus Monnom,5,2024-02-10 02:26:45,mantap Joss bisa di andalkan,POSITIVE
Awal udin,5,2024-02-10 02:26:12,"alpikasi yg sangat baik,mudah dalam segala hal ,contoh nya top up gratis pembayaran listrik mudah",POSITIVE
Dede Sutiandi,5,2024-02-10 02:24:11,sangat membantu sekali ada dana,POSITIVE
Bang Ajok,5,2024-02-10 02:20:16,"Tolong, ini akun dana saya mau login perlu kode otp, tp gak ada kode otp masuk, udah brp kali coba, MOHON BANTUANNYA !!",NEGATIVE
F L U X Y,1,2024-02-10 02:18:11,"respon cs lama banget, keburu punya cucu gw",NEGATIVE
Ranty Encis,5,2024-02-10 02:17:32,sangat baik,POSITIVE
Mia Sari,5,2024-02-10 02:16:08,Ok,POSITIVE
Komalasari Kokom,5,2024-02-10 02:10:40,Sangat Membantu...Dan Proses Sangat Cepat,POSITIVE
Joni Wae,5,2024-02-10 02:09:17,ok,NEGATIVE
Muhammad rahmani Rahmani,5,2024-02-10 02:05:49,👍,POSITIVE
Mayang Arum,5,2024-02-10 02:05:05,"sangat puas pakai apk DANA,mudah dan aman. terima kasih DANA🙏🏻",POSITIVE
DOD,1,2024-02-10 02:04:55,Kok sekaraang ngga ada fitur pulsanyaaaa😈😈😈,NEGATIVE
kasirin sirin,5,2024-02-10 02:04:45,terima kasih sudah membantu,POSITIVE
Keysha Amanda,5,2024-02-10 02:02:13,pakai dana transaksi apa aja jadinya gampang no ribet,NEGATIVE
Cameng Fingerstyle,5,2024-02-10 02:01:46,sangat aman buat transaksi,POSITIVE
Teuku Muhammad Saleh,5,2024-02-10 01:59:05,baik,POSITIVE
AD Official,1,2024-02-10 01:52:50,"Setiap pencairan uang dari Snack video ke dana ga pernah update, ga masuk kadang kadang. Ga bener dana . Uang nya dikemanain tuh. Sering hilang",NEGATIVE
Arif Budiman,5,2024-02-10 01:50:54,DANA OK AKU SUKA.,NEUTRAL
Rivina RivinaSryFqh,5,2024-02-10 01:50:29,Toppp bangett,POSITIVE
Arifin Siregar,5,2024-02-10 01:50:15,"bagus,semoga lebih aman",POSITIVE
Nopels SKL,1,2024-02-10 01:47:10,"Ayo teman teman kita pindah ke gopay saja, GOPAY di jamin aman untuk keuangan, kalian jangan nyimpen uang di aplikasi DANA, nnti uang kalian hilang",NEGATIVE
Asih Triranti,1,2024-02-10 01:47:01,aplikasi MALING terus yang maling orang dalamnya sendiri apa sudah miskin kah DANA sekarang sehingga para OD nya menjadi MALING sekarang,NEGATIVE
Fani Velova,5,2024-02-10 01:46:58,bagus,POSITIVE
Naisha Difa,4,2024-02-10 01:45:00,"Seharusnya saya memberi bintang 5 tetapi saya mengalami error dalam memasuki akun dana selalu munculnya ""akunmu sedang diproteksi""",NEGATIVE
rumi Sundari,1,2024-02-10 01:44:43,Mau upgrade ke premium aja di persulit sudah scan ktp sudah verifikasi wajah tiba tiba muncul tidak bisa upgrade ke premium suruh nunggu 30 hari. Saya butuh uang saya yang ada di aplikasi DANA dan butuh untuk transaksi secepatnya,NEGATIVE
Zaina Pikri,5,2024-02-10 01:43:30,lancar jaya dan ga ada kendala.,NEUTRAL
Defano Tbl Ohoiwai,5,2024-02-10 01:42:09,Mantap,POSITIVE
YR FADIL,5,2024-02-10 01:41:18,Thanks min aku udah bisa login lgi ternyata di suruh nunggu sampe 5 menit doang biar ada kode otp nya😅,NEUTRAL
Kris Dayanto98,1,2024-02-10 01:40:50,Ga beli pulsa ga transfer delay mulu ampun nih apk,NEGATIVE
Esra P karaeng,5,2024-02-10 01:40:36,Krennnn ✨,NEUTRAL
Lisna Ningsi,5,2024-02-10 01:40:11,Sangat membantu sekali aplikasi ini,POSITIVE
Zaenal Muttaqin,4,2024-02-10 01:38:56,top,POSITIVE
Krisna yadi,1,2024-02-10 01:38:52,Akun saya kena hack bagaimana min.. Skrg dana banyak yg nipu nya gampang pake di akun org asalkan jo dana nya ada,NEGATIVE
Raya Junaedi,5,2024-02-10 01:34:27,mantablah,POSITIVE
Alfi,5,2024-02-10 01:32:23,Bagus tapi sayang GK bisa di download lgi,NEGATIVE
Oki Hermanto,5,2024-02-10 01:32:12,puas,POSITIVE
JempolJz13 Rsc,5,2024-02-10 01:32:03,"mantap sekali beli pulsa pakai dana ,yuk rame rame pakai dana, pokoknya top markotop",NEGATIVE
Robin Kibot,5,2024-02-10 01:30:54,Tidak bisa login..tolong diperbaiki dan ini sangat mengganggu semua transaksi...trimakasih,NEGATIVE
Uki Cool,1,2024-02-10 01:30:53,Dana kenapa ya min kok uang malah ga masuk padahal sudah berhasil pengirimannya. Tolong di bantu min,NEGATIVE
Hardiansyah Ansori,5,2024-02-10 01:30:47,Ok,POSITIVE
Gun Awan,5,2024-02-10 01:30:28,bagus,POSITIVE
Maman Kusmana,5,2024-02-10 01:27:55,Sangat membantu,POSITIVE
Hasan Basri,5,2024-02-10 01:27:52,enak banget,POSITIVE
Gunggu Nawan,1,2024-02-10 01:27:24,"Saldo hilang gak ada tanggung jawabnya sama sekali, terus alasannya transaksi sudah berhasil. Iya di riwayat transaksi emang ada, tapi saldonya kemana kok hilang? Tutup aja perusahaannya, daripada makin banyak korban yg kehilangan saldonya.",NEGATIVE
Rohman Amirudin,5,2024-02-10 01:26:51,ok,NEGATIVE
vina wati,3,2024-02-10 01:25:18,"Maaf kenapa ya d aplikasi dana sekarang gk ada isi pulsa dan data tiba2 hilang gitu aja, bagaimana saya mau isi pulsa sama data",NEGATIVE
Pak ded Lorsawah,5,2024-02-10 01:24:11,bagus banget,POSITIVE
Cucu Cahayati,1,2024-02-10 01:23:16,Ngk kecewa ake aplikasi DANA INI bagus dan proses cepat,NEGATIVE
Andriani Ani,5,2024-02-10 01:22:41,sangat baik,POSITIVE
Fajar Asolole,4,2024-02-10 01:21:44,mantap,POSITIVE
Aliandra Putra,5,2024-02-10 01:21:34,bagus,POSITIVE
fitri saja,4,2024-02-10 01:20:39,"Bagus,ga ribet",POSITIVE
Syahril Bzf,5,2024-02-10 01:19:56,bagusss,POSITIVE
Alalal Alalal,1,2024-02-10 01:07:13,"Suka eror,dananya udh abis pulsanya ga masuk!",NEGATIVE
Isman_Riadi,3,2024-02-10 01:05:48,"Mohon Bantuannya, Saya tidak bisa Login ke Akun Dana di HP Baru Saya dikarenakan meminta terus verifikasi Aktivitas Di Perangkat HP yang Lama saya padahal Aplikasi Dana Sudah diuninstal di HP tersebut. Mohon ditambahkan Fitur metode lain seperti Kode OTP sms dan Whatsapp, Verifikasi Wajah, jangan Hanya Menggunakan Verifikasi Aktivitas,, Bisa Saja HP Lama itu Hilang atau Karena Hal Lainnya",NEGATIVE
Hartono Panjaitan,1,2024-02-10 01:05:37,baru pakai top up bisa.mau top up berikutnya muncul tulisan pastikan negara anda bla.bla.bla?,NEUTRAL
Naura Khumaira Putri,5,2024-02-10 01:03:23,"untuk saat ini blum ada kendala ,thanks DANA",NEGATIVE
putra bliyonselatan,4,2024-02-10 01:03:11,oke,POSITIVE
HSPro,4,2024-02-10 01:01:35,Tingkatkan lagi ya. Tks,POSITIVE
Egi Krna,1,2024-02-10 00:58:36,Makin kacau aplikasi nya uang gw ilang dikarenakan akun tidak bisa login padahal nomer handphone masih aktif yang mau pake ni aplikasi jangan lah jangan sampe nyesel nantinya,NEGATIVE
Rian Q mamaz,4,2024-02-10 00:58:05,Aneh gak bisa ke dana premium,NEGATIVE
Mamak Itam04,3,2024-02-10 00:57:39,Sempurna,POSITIVE
Ito Sucipto,5,2024-02-10 00:54:48,membantu,POSITIVE
Syaiful Anwar,5,2024-02-10 00:54:28,Bagus sekali,POSITIVE
Frans D Tigtigweria,1,2024-02-10 00:47:37,Susah untuk masuk lupa pin,NEGATIVE
Dafa Abdullah21,1,2024-02-10 00:41:04,Kalau bikin aplikasi yang bener ya jangan saldo orang di makan tanpa sebab,NEUTRAL
Erdy Alif,1,2024-02-10 00:40:56,"mending gk usah pake premium""",NEGATIVE
Asnadi Jai,5,2024-02-10 00:39:46,sangat membantu,POSITIVE
Udin Syamsudin,5,2024-02-10 00:34:41,emang boleh semudah ini. pokoke DANA keren,POSITIVE
ahmad khoirur rohim,3,2024-02-10 00:33:58,enak aja,POSITIVE
Ssssttt,4,2024-02-10 00:32:13,itil,NEGATIVE
Gesang Nw,5,2024-02-10 00:32:12,My favorite e-wallet apps,POSITIVE
otoy red devil,4,2024-02-10 00:31:08,cukup indah,POSITIVE
Gan2R GF,5,2024-02-10 00:29:58,mantap,POSITIVE
Gita Rahmawati,1,2024-02-10 00:28:38,"Saya sangat tidak menyarankan untuk download aplikasi dana dan tidak menyarankan untuk menyimpan uang di dana karena sudah banyak korban uang nya yg hilang dan dana tidak pernah mau bertanggung jawab , keamanan dana dan pelayanan dana sangat buruk .",NEGATIVE
Bangun Barimbing,5,2024-02-10 00:28:23,Sayank love,POSITIVE
ALINDA MUSIC KALTIM,5,2024-02-10 00:26:21,ok,NEGATIVE
Yeni Simamora,4,2024-02-10 00:24:13,sangat mudah digunakan,POSITIVE
Jelin Alam kusuma,5,2024-02-10 00:24:03,bagus saya kasih 5,POSITIVE
firman dwijanto,5,2024-02-10 00:23:49,top bagus dan cepat serta tdk ribet.,NEGATIVE
Agus Suyono,5,2024-02-10 00:21:03,Lebih lancar and flexible,POSITIVE
Marthen Fay,5,2024-02-10 00:19:51,bagus,POSITIVE
Mikhael Muri,5,2024-02-10 00:18:17,Sangat puas,POSITIVE
Olin Mozaik,5,2024-02-10 00:17:56,all nya bagus,POSITIVE
Jasmine,5,2024-02-10 00:15:08,Good,POSITIVE
Nunung Hernawati,3,2024-02-10 00:09:45,👍👍👍👍👍,NEUTRAL
Dimas Ratanegara,5,2024-02-10 00:09:32,bagus lebih mudah dan praktis buat segala transaksi,POSITIVE
aden andika,1,2024-02-10 00:09:17,Hati hati pakai dana saldo saya hilang begitu aja pihak dana dengan enteng menjawab. Saya ikutbprihatin tapi saldo tidak di kembalikan. Yang bisa lakukan transaksi ilegal berarti pihak dana berarti yang mencuri saldo saya pihak dana sendri lah,NEGATIVE
Zainal Arifin,3,2024-02-10 00:03:58,Cukup baik,POSITIVE
Muttik Udin,2,2024-02-10 00:02:55,lemot dan tidak seresponsif dulu,NEGATIVE
Asep Rohendi,2,2024-02-10 00:02:32,Kenapa g bisa ke buka terus tolong perbaiki secepat y,NEUTRAL
fia henry,5,2024-02-09 23:58:28,sejauh ini saya suka pakai Dana,POSITIVE
Abdul Rozak,5,2024-02-09 23:53:37,Coba dulu,NEGATIVE
Egis Satria,5,2024-02-09 23:53:27,lncar aman sntaii,POSITIVE
Tanti Nurhayati,5,2024-02-09 23:52:26,bagus,POSITIVE
muhammad safii,5,2024-02-09 23:51:24,bagus,POSITIVE
Efendi Ardiansyah,1,2024-02-09 23:49:04,"Kembalikan uang ku, apa apknya minta di update udh di update tetap gak bisa ke buka",NEUTRAL
GURAT Bumi,5,2024-02-09 23:48:42,Oke,NEGATIVE
Joe Bae,5,2024-02-09 23:46:13,selalu membantu,POSITIVE
Pupung saripudin,5,2024-02-09 23:40:55,lancara dan bagus aman,POSITIVE
Nurhamzhah Nurhamzhah,5,2024-02-09 23:39:19,Gogle,POSITIVE
tai ucing,4,2024-02-09 23:37:17,baik,POSITIVE
Firman Viostinst,1,2024-02-09 23:36:57,Sistem keamanan nya tidak aman sama sekali saya sudah 2 kali kehilangan uang di dana ini karena sistem nya di bobol secara paksa,NEGATIVE
Redmi Ax,5,2024-02-09 23:35:24,Enak cpt,NEGATIVE
Cikal Rambu basae,5,2024-02-09 23:32:35,Pay later,NEGATIVE
Nur Hasanah,5,2024-02-09 23:31:07,Sangat Terimakasih😇🙏,POSITIVE
Bambang Eko,1,2024-02-09 23:29:30,"Sistem keamanan dana kek anjinggg... Knp saldo saya isi tiba"" Ada yg melakukan transaksi tf ke bank,isi pulsa tanpa sepengetahuan saya. Apakah ini ada hubungannya dengan oknum pegawai dana dengan mencari keuntungan?? Katanya diawasi BI kok keamanan aja masih bisa di retas orang. Mendingan hapus ajaa ini aplikasi. Merugikan banyak orang. Kecewa sekali sama aplikasi dana.",NEGATIVE
Rezty Asyifa meylian,5,2024-02-09 23:20:11,bagus,POSITIVE
