idx,Opertaor,Field,Keyword / Phrase
1563,OR,TITLE-ABS,water harvest
1564,OR,TITLE-ABS,water harvesting
1565,OR,AUTHKEY,harvest water
1566,OR,AUTHKEY,harvesting water
1567,OR,AUTHKEY,harvested water
1568,OR,AUTHKEY,harvest of water
1569,OR,AUTHKEY,harvesting of water
1570,OR,AUTHKEY,water harvest
1571,OR,AUTHKEY,water harvesting
1572,OR,TITLE-ABS,efficiency of ground water use
1573,OR,TITLE-ABS,efficiency of groundwater use
1574,OR,TITLE-ABS,efficiency of ground water usage
1575,OR,TITLE-ABS,efficiency of groundwater usage
1576,OR,AUTHKEY,efficiency of ground water use
1577,OR,AUTHKEY,efficiency of groundwater use
1578,OR,AUTHKEY,efficiency of ground water usage
1579,OR,AUTHKEY,efficiency of groundwater usage
1580,OR,TITLE-ABS,water scarce
1581,OR,AUTHKEY,water scarce
1582,OR,TITLE-ABS,withdrawals
1583,OR,TITLE-ABS,withdrawal
1584,AND,TITLE-ABS,groundwater
1585,AND,TITLE-ABS,sustainability
1586,OR,AUTHKEY,withdrawals
1587,OR,AUTHKEY,withdrawal
1588,AND,AUTHKEY,groundwater
1589,AND,AUTHKEY,sustainability
1590,OR,TITLE-ABS,sustainability of water
1591,AND,TITLE-ABS,management
1592,OR,AUTHKEY,sustainability of water
1593,AND,AUTHKEY,management
1594,OR,TITLE-ABS,efficient use of groundwater
1595,OR,AUTHKEY,efficient use of groundwater
1596,OR,TITLE-ABS,water Saving Appliances
1597,OR,TITLE-ABS,water Saving Appliance
1598,OR,AUTHKEY,water Saving Appliances
1599,OR,AUTHKEY,water Saving Appliance
1600,OR,TITLE-ABS,smart water management
1601,OR,AUTHKEY,smart water management
1602,OR,TITLE-ABS,regulated deficit irrigation
1603,OR,AUTHKEY,regulated deficit irrigation
1604,OR,TITLE-ABS,irrigation technology
1605,OR,AUTHKEY,irrigation technology
1606,OR,TITLE-ABS,Desalination
1607,AND,TITLE-ABS,fresh water
1608,OR,TITLE-ABS,freshwater
1609,OR,AUTHKEY,Desalination
1610,AND,AUTHKEY,fresh water
1611,OR,AUTHKEY,freshwater
1612,OR,TITLE-ABS,improvement in the irrigation
1613,OR,AUTHKEY,improvement in the irrigation
1614,OR,TITLE-ABS,Desalination
1615,AND,TITLE-ABS,water saving
1616,OR,AUTHKEY,Desalination
1617,AND,AUTHKEY,water saving
1618,OR,TITLE-ABS,water saving
1619,OR,TITLE-ABS,water savings
1620,OR,AUTHKEY,water saving
1621,OR,AUTHKEY,water savings
1622,OR,TITLE-ABS,groundwater Desalination
1623,OR,AUTHKEY,groundwater Desalination
1624,OR,TITLE-ABS,irrigation water use efficiency
1625,OR,AUTHKEY,irrigation water use efficiency
1626,OR,TITLE-ABS,multistage flash distillation
1627,OR,AUTHKEY,multistage flash distillation
1628,OR,TITLE-ABS,water-saving technologies
1629,OR,TITLE-ABS,water-saving technology
1630,OR,TITLE-ABS,watersaving technologies
1631,OR,TITLE-ABS,watersaving technology
1632,OR,AUTHKEY,water-saving technologies
1633,OR,AUTHKEY,water-saving technology
1634,OR,AUTHKEY,watersaving technologies
1635,OR,AUTHKEY,watersaving technology
1636,OR,TITLE-ABS,Improved irrigation
1637,OR,AUTHKEY,Improved irrigation
1638,OR,TITLE-ABS,water management
1639,OR,TITLE-ABS,water resource management
1640,AND,TITLE-ABS,agriculture
1641,OR,TITLE-ABS,agricultural
1642,OR,AUTHKEY,water management
1643,OR,AUTHKEY,water resource management
1644,AND,AUTHKEY,agriculture
1645,OR,AUTHKEY,agricultural
1646,OR,TITLE-ABS,rain water storage
1647,OR,AUTHKEY,rain water storage
1648,OR,TITLE-ABS,freshwater supply
1649,AND,TITLE-ABS,household
1650,OR,AUTHKEY,freshwater supply
1651,AND,AUTHKEY,household
1652,OR,TITLE-ABS,sustainable water use
1653,OR,AUTHKEY,sustainable water use
1654,OR,TITLE-ABS,Desalination
1655,AND,TITLE-ABS,scarcity
1656,OR,AUTHKEY,Desalination
1657,AND,AUTHKEY,scarcity
1658,OR,TITLE-ABS,Agricultural Water Efficiency
1659,OR,AUTHKEY,Agricultural Water Efficiency
1660,OR,TITLE-ABS,sustainable utilization of freshwater
1661,OR,AUTHKEY,sustainable utilization of freshwater
1662,OR,TITLE-ABS,irrigation performance
1663,OR,AUTHKEY,irrigation performance
1664,OR,TITLE-ABS,water conservation
1665,AND,TITLE-ABS,shortages
1666,OR,AUTHKEY,water conservation
1667,AND,AUTHKEY,shortages
1668,OR,TITLE-ABS,sustainable freshwater use
1669,OR,AUTHKEY,sustainable freshwater use
1670,OR,TITLE-ABS,scarcity of freshwater
1671,OR,TITLE-ABS,scarcity of fresh water
1672,OR,AUTHKEY,scarcity of freshwater
1673,OR,AUTHKEY,scarcity of fresh water
1674,OR,TITLE-ABS,desalination membranes
1675,OR,AUTHKEY,desalination membranes
1676,OR,TITLE-ABS,rainwater management
1677,AND,TITLE-ABS,industry
1678,OR,TITLE-ABS,industries
1679,OR,TITLE-ABS,industrial
1680,OR,AUTHKEY,rainwater management
1681,AND,AUTHKEY,industry
1682,OR,AUTHKEY,industries
1683,OR,AUTHKEY,industrial
1684,OR,TITLE-ABS,appliances
1685,AND,TITLE-ABS,water saving
1686,OR,TITLE-ABS,water savings
1687,OR,AUTHKEY,appliances
1688,AND,AUTHKEY,water saving
1689,OR,AUTHKEY,water savings
1690,OR,TITLE-ABS,irrigation
1691,AND,TITLE-ABS,water-saving
1692,OR,TITLE-ABS,water-savings
1693,OR,TITLE-ABS,irrigation
1694,AND,TITLE-ABS,watersaving
1695,OR,TITLE-ABS,watersavings
1696,OR,AUTHKEY,irrigation
1697,AND,AUTHKEY,water-saving
1698,OR,AUTHKEY,water-savings
1699,OR,AUTHKEY,irrigation
1700,AND,AUTHKEY,watersaving
1701,OR,AUTHKEY,watersavings
1702,OR,TITLE-ABS,Water productivity
1703,OR,AUTHKEY,Water productivity
1704,OR,TITLE-ABS,desalinated water
1705,AND,TITLE-ABS,agricultural
1706,OR,TITLE-ABS,agriculture
1707,OR,TITLE-ABS,irrigation
1708,OR,TITLE-ABS,farming
1709,OR,AUTHKEY,desalinated water
1710,AND,AUTHKEY,agricultural
1711,OR,AUTHKEY,agriculture
1712,OR,AUTHKEY,irrigation
1713,OR,AUTHKEY,farming
1714,OR,TITLE-ABS,efficient utilization of groundwater
1715,OR,TITLE-ABS,efficient utilization of ground water
1716,OR,AUTHKEY,efficient utilization of groundwater
1717,OR,AUTHKEY,efficient utilization of ground water
1718,OR,TITLE-ABS,rainfed irrigation
1719,OR,TITLE-ABS,rain fed irrigation
1720,OR,AUTHKEY,rainfed irrigation
1721,OR,AUTHKEY,rain fed irrigation
1722,OR,TITLE-ABS,water shortage
1723,AND,TITLE-ABS,distillation
1724,OR,AUTHKEY,water shortage
1725,AND,AUTHKEY,distillation
1726,OR,TITLE-ABS,water shortage
1727,AND,TITLE-ABS,water consumption
1728,OR,AUTHKEY,water shortage
1729,AND,AUTHKEY,water consumption
1730,OR,TITLE-ABS,water efficient use
1731,OR,AUTHKEY,water efficient use
1732,OR,TITLE-ABS,efficiency of fresh water use
1733,OR,TITLE-ABS,efficiency of freshwater use
1734,OR,AUTHKEY,efficiency of fresh water use
1735,OR,AUTHKEY,efficiency of freshwater use
1736,OR,TITLE-ABS,rainfed crop
1737,OR,TITLE-ABS,rain fed crop
1738,OR,TITLE-ABS,rainfed crops
1739,OR,TITLE-ABS,rain fed crops
1740,OR,AUTHKEY,rainfed crop
1741,OR,AUTHKEY,rain fed crop
1742,OR,AUTHKEY,rainfed crops
1743,OR,AUTHKEY,rain fed crops
1744,OR,TITLE-ABS,water management
1745,AND,TITLE-ABS,irrigation
1746,OR,AUTHKEY,water management
1747,AND,AUTHKEY,irrigation
1748,OR,TITLE-ABS,harvest precipitations
1749,OR,TITLE-ABS,harvesting precipitations
1750,OR,TITLE-ABS,harvested precipitations
1751,OR,TITLE-ABS,harvest of precipitations
1752,OR,TITLE-ABS,harvesting of precipitations
1753,OR,TITLE-ABS,harvest precipitation 
1754,OR,TITLE-ABS,harvesting precipitation
1755,OR,TITLE-ABS,harvested precipitation
1756,OR,TITLE-ABS,harvest of precipitation 
1757,OR,TITLE-ABS,harvesting of precipitation
1758,OR,AUTHKEY,harvest precipitations
1759,OR,AUTHKEY,harvesting precipitations
1760,OR,AUTHKEY,harvested precipitations
1761,OR,AUTHKEY,harvest of precipitations
1762,OR,AUTHKEY,harvesting of precipitations
1763,OR,AUTHKEY,harvest precipitation 
1764,OR,AUTHKEY,harvesting precipitation
1765,OR,AUTHKEY,harvested precipitation
1766,OR,AUTHKEY,harvest of precipitation 
1767,OR,AUTHKEY,harvesting of precipitation
1768,OR,TITLE-ABS,water efficiency
1769,AND,TITLE-ABS,water saving
1770,OR,TITLE-ABS,water savings
1771,OR,AUTHKEY,water efficiency
1772,AND,AUTHKEY,water saving
1773,OR,AUTHKEY,water savings
1774,OR,TITLE-ABS,smart irrigation
1775,OR,AUTHKEY,smart irrigation
1776,OR,TITLE-ABS,Desalination
1777,AND,TITLE-ABS,groundwater efficient
1778,OR,TITLE-ABS,groundwater efficient
1779,OR,TITLE-ABS,groundwater efficiency
1780,OR,TITLE-ABS,groundwater use efficiency
1781,OR,TITLE-ABS,groundwater savings
1782,OR,TITLE-ABS,groundwater production
1783,OR,TITLE-ABS,groundwater management
1784,OR,AUTHKEY,Desalination
1785,AND,AUTHKEY,groundwater efficient
1786,OR,AUTHKEY,groundwater efficient
1787,OR,AUTHKEY,groundwater efficiency
1788,OR,AUTHKEY,groundwater use efficiency
1789,OR,AUTHKEY,groundwater savings
1790,OR,AUTHKEY,groundwater production
1791,OR,AUTHKEY,groundwater management
1792,OR,TITLE-ABS,harvesting of underground water
1793,OR,AUTHKEY,harvesting of underground water
1794,OR,TITLE-ABS,water efficient
1795,AND,TITLE-ABS,water saving
1796,OR,TITLE-ABS,water savings
1797,OR,AUTHKEY,water efficient
1798,AND,AUTHKEY,water saving
1799,OR,AUTHKEY,water savings
1800,OR,TITLE-ABS,smart water supply
1801,OR,AUTHKEY,smart water supply
1802,OR,TITLE-ABS,run off harvest
1803,OR,TITLE-ABS,run off harvesting
1804,OR,TITLE-ABS,runoff harvest
1805,OR,TITLE-ABS,runoff harvesting
1806,OR,AUTHKEY,run off harvest
1807,OR,AUTHKEY,run off harvesting
1808,OR,AUTHKEY,runoff harvest
1809,OR,AUTHKEY,runoff harvesting
1810,OR,TITLE-ABS,water security
1811,OR,AUTHKEY,water security
1812,OR,TITLE-ABS,seawater Desalination
1813,OR,AUTHKEY,seawater Desalination
1814,OR,TITLE-ABS,water planification
1815,OR,TITLE-ABS,water resources planification
1816,OR,TITLE-ABS,water resource planification
1817,AND,TITLE-ABS,irrigation
1818,OR,TITLE-ABS,farming
1819,OR,TITLE-ABS,agriculture
1820,OR,TITLE-ABS,agricultural
1821,OR,TITLE-ABS,industry
1822,OR,TITLE-ABS,industries
1823,OR,TITLE-ABS,industrial
1824,OR,TITLE-ABS,household
1825,OR,TITLE-ABS,households
1826,OR,TITLE-ABS,residential
1827,OR,AUTHKEY,water planification
1828,OR,AUTHKEY,water resources planification
1829,OR,AUTHKEY,water resource planification
1830,AND,AUTHKEY,irrigation
1831,OR,AUTHKEY,farming
1832,OR,AUTHKEY,agriculture
1833,OR,AUTHKEY,agricultural
1834,OR,AUTHKEY,industry
1835,OR,AUTHKEY,industries
1836,OR,AUTHKEY,industrial
1837,OR,AUTHKEY,household
1838,OR,AUTHKEY,households
1839,OR,AUTHKEY,residential
1840,OR,TITLE-ABS,water Saving faucets
1841,OR,TITLE-ABS,water Saving washing
1842,OR,AUTHKEY,water Saving faucets
1843,OR,AUTHKEY,water Saving washing
1844,OR,TITLE-ABS,sustainable use of freshwater
1845,OR,AUTHKEY,sustainable use of freshwater
1846,OR,TITLE-ABS,Desalination
1847,AND,TITLE-ABS,water
1848,OR,AUTHKEY,Desalination
1849,AND,AUTHKEY,water
1850,OR,TITLE-ABS,sustainable withdrawals
1851,OR,AUTHKEY,sustainable withdrawals
1852,OR,TITLE-ABS,Agricultural Water productivity
1853,OR,AUTHKEY,Agricultural Water productivity
1854,OR,TITLE-ABS,water efficient shower
1855,OR,TITLE-ABS,water efficient showerhead
1856,OR,TITLE-ABS,water efficient showerheads
1857,OR,AUTHKEY,water efficient shower
1858,OR,AUTHKEY,water efficient showerhead
1859,OR,AUTHKEY,water efficient showerheads
1860,OR,TITLE-ABS,ground water use efficiency
1861,OR,TITLE-ABS,groundwater use efficiency
1862,OR,AUTHKEY,ground water use efficiency
1863,OR,AUTHKEY,groundwater use efficiency
1864,OR,TITLE-ABS,run off irrigation
1865,OR,TITLE-ABS,runoff irrigation
1866,OR,AUTHKEY,run off irrigation
1867,OR,AUTHKEY,runoff irrigation
1868,OR,TITLE-ABS,water meter
1869,OR,AUTHKEY,water meter
1870,OR,TITLE-ABS,crop per drop
1871,OR,AUTHKEY,crop per drop
1872,OR,TITLE-ABS,interbasin transfers
1873,OR,AUTHKEY,interbasin transfers
1874,OR,TITLE-ABS,smart Water Distribution
1875,OR,AUTHKEY,smart Water Distribution
1876,OR,TITLE-ABS,water* recycl*
1877,OR,AUTHKEY,water* recycl*
1878,OR,TITLE-ABS,water saving
1879,AND,TITLE-ABS,footprint
1880,OR,AUTHKEY,water saving
1881,AND,AUTHKEY,footprint
1882,OR,TITLE-ABS,Irrigation water policies
1883,OR,TITLE-ABS,Irrigation water policy
1884,OR,AUTHKEY,Irrigation water policies
1885,OR,AUTHKEY,Irrigation water policy
1886,OR,TITLE-ABS,efficient irrigation
1887,OR,TITLE-ABS,efficiency of irrigation
1888,OR,AUTHKEY,efficient irrigation
1889,OR,AUTHKEY,efficiency of irrigation
1890,OR,TITLE-ABS,urban water conservation
1891,OR,AUTHKEY,urban water conservation
1892,OR,TITLE-ABS,sustainable use of ground water
1893,OR,AUTHKEY,sustainable use of ground water
1894,OR,TITLE-ABS,rainfed harvest
1895,OR,TITLE-ABS,rain fed harvest
1896,OR,TITLE-ABS,rainfed harvesting
1897,OR,TITLE-ABS,rain fed harvesting
1898,OR,AUTHKEY,rainfed harvest
1899,OR,AUTHKEY,rain fed harvest
1900,OR,AUTHKEY,rainfed harvesting
1901,OR,AUTHKEY,rain fed harvesting
1902,OR,TITLE-ABS,water shortage
1903,AND,TITLE-ABS,reverse osmosis
1904,OR,AUTHKEY,water shortage
1905,AND,AUTHKEY,reverse osmosis
1906,OR,TITLE-ABS,water resources scarcity 
1907,OR,AUTHKEY,water resources scarcity 
1908,OR,TITLE-ABS,rain harvest
1909,OR,TITLE-ABS,rain harvesting
1910,OR,AUTHKEY,rain harvest
1911,OR,AUTHKEY,rain harvesting
1912,OR,TITLE-ABS,efficient water use
1913,OR,AUTHKEY,efficient water use
1914,OR,TITLE-ABS,sustainable use of freshwater
1915,OR,AUTHKEY,sustainable use of freshwater
1916,OR,TITLE-ABS,efficient utilization of freshwater
1917,OR,TITLE-ABS,efficient utilization of fresh water
1918,OR,AUTHKEY,efficient utilization of freshwater
1919,OR,AUTHKEY,efficient utilization of fresh water
1920,OR,TITLE-ABS,water withdrawal
1921,OR,TITLE-ABS,water withdrawals
1922,AND,TITLE-ABS,water supply
1923,OR,AUTHKEY,water withdrawal
1924,OR,AUTHKEY,water withdrawals
1925,AND,AUTHKEY,water supply
1926,OR,TITLE-ABS,equitable distribution of water
1927,OR,AUTHKEY,equitable distribution of water
1928,OR,TITLE-ABS,harvest rain
1929,OR,TITLE-ABS,harvesting rain
1930,OR,TITLE-ABS,harvested rain
1931,OR,TITLE-ABS,harvest of rain
1932,OR,TITLE-ABS,harvesting of rain
1933,OR,AUTHKEY,harvest rain
1934,OR,AUTHKEY,harvesting rain
1935,OR,AUTHKEY,harvested rain
1936,OR,AUTHKEY,harvest of rain
1937,OR,AUTHKEY,harvesting of rain
1938,OR,TITLE-ABS,water management
1939,OR,TITLE-ABS,water resource management
1940,AND,TITLE-ABS,Virtual water
1941,OR,AUTHKEY,water management
1942,OR,AUTHKEY,water resource management
1943,AND,AUTHKEY,Virtual water
1944,OR,TITLE-ABS,water catchment
1945,AND,TITLE-ABS,water supply
1946,OR,AUTHKEY,water catchment
1947,AND,AUTHKEY,water supply
1948,OR,TITLE-ABS,rainfed farming
1949,OR,TITLE-ABS,rain fed farming
1950,OR,AUTHKEY,rainfed farming
1951,OR,AUTHKEY,rain fed farming
1952,OR,TITLE-ABS,households
1953,AND,TITLE-ABS,water saving
1954,OR,TITLE-ABS,water savings
1955,OR,AUTHKEY,households
1956,AND,AUTHKEY,water saving
1957,OR,AUTHKEY,water savings
1958,OR,TITLE-ABS,Desalination
1959,AND,TITLE-ABS,water use efficiency
1960,OR,AUTHKEY,Desalination
1961,AND,AUTHKEY,water use efficiency
1962,OR,TITLE-ABS,reduce seepage
1963,OR,TITLE-ABS,reducing seepage
1964,OR,AUTHKEY,reduce seepage
1965,OR,AUTHKEY,reducing seepage
1966,OR,TITLE-ABS,efficient use of ground water
1967,OR,AUTHKEY,efficient use of ground water
1968,OR,TITLE-ABS,water efficient faucets
1969,OR,TITLE-ABS,water efficient washing
1970,OR,AUTHKEY,water efficient faucets
1971,OR,AUTHKEY,water efficient washing
1972,OR,TITLE-ABS,solar distillation
1973,OR,AUTHKEY,solar distillation
1974,OR,TITLE-ABS,stormwater harvest
1975,OR,TITLE-ABS,stormwater harvesting
1976,OR,AUTHKEY,stormwater harvest
1977,OR,AUTHKEY,stormwater harvesting
1978,OR,TITLE-ABS,efficient drainage systems
1979,OR,AUTHKEY,efficient drainage systems
1980,OR,TITLE-ABS,Desalination facilities
1981,OR,AUTHKEY,Desalination facilities
1982,OR,TITLE-ABS,water saving
1983,OR,TITLE-ABS,water savings
1984,AND,TITLE-ABS,agricultural
1985,OR,AUTHKEY,water saving
1986,OR,AUTHKEY,water savings
1987,AND,AUTHKEY,agricultural
1988,OR,TITLE-ABS,efficient fresh water
1989,OR,TITLE-ABS,efficient freshwater
1990,OR,AUTHKEY,efficient fresh water
1991,OR,AUTHKEY,efficient freshwater
1992,OR,TITLE-ABS,sustainable use of fresh water
1993,OR,AUTHKEY,sustainable use of fresh water
1994,OR,TITLE-ABS,Desalination
1995,AND,TITLE-ABS,distillation
1996,OR,AUTHKEY,Desalination
1997,AND,AUTHKEY,distillation
1998,OR,TITLE-ABS,efficiency of fresh water utilization
1999,OR,TITLE-ABS,efficiency of freshwater utilization
2000,OR,AUTHKEY,efficiency of fresh water utilization
2001,OR,AUTHKEY,efficiency of freshwater utilization
2002,OR,TITLE-ABS,water shortage
2003,AND,TITLE-ABS,wastewater
2004,OR,AUTHKEY,water shortage
2005,AND,AUTHKEY,wastewater
2006,OR,TITLE-ABS,performance of irrigation
2007,OR,AUTHKEY,performance of irrigation
2008,OR,TITLE-ABS,groundwater irrigation
2009,OR,AUTHKEY,groundwater irrigation
2010,OR,TITLE-ABS,water meters
2011,OR,AUTHKEY,water meters
2012,OR,TITLE-ABS,rainwater management
2013,AND,TITLE-ABS,irrigation
2014,OR,AUTHKEY,rainwater management
2015,AND,AUTHKEY,irrigation
2016,OR,TITLE-ABS,efficient water Planning
2017,OR,TITLE-ABS,efficient water resources Planning
2018,OR,TITLE-ABS,efficient water resource Planning
2019,OR,TITLE-ABS,reliable water Planning
2020,OR,TITLE-ABS,reliable water resources Planning
2021,OR,TITLE-ABS,reliable water resource Planning
2022,OR,AUTHKEY,efficient water Planning
2023,OR,AUTHKEY,efficient water resources Planning
2024,OR,AUTHKEY,efficient water resource Planning
2025,OR,AUTHKEY,reliable water Planning
2026,OR,AUTHKEY,reliable water resources Planning
2027,OR,AUTHKEY,reliable water resource Planning
2028,OR,TITLE-ABS,fresh water supply
2029,AND,TITLE-ABS,irrigation
2030,OR,AUTHKEY,fresh water supply
2031,AND,AUTHKEY,irrigation
2032,OR,TITLE-ABS,sustainability of irrigation
2033,OR,AUTHKEY,sustainability of irrigation
2034,OR,TITLE-ABS,Desalination
2035,AND,TITLE-ABS,water supply
2036,OR,TITLE-ABS,water supplies
2037,OR,AUTHKEY,Desalination
2038,AND,AUTHKEY,water supply
2039,OR,AUTHKEY,water supplies
2040,OR,TITLE-ABS,sustainable exploitation of water
2041,OR,TITLE-ABS,sustainable exploitation of fresh water
2042,OR,TITLE-ABS,sustainable exploitation of ground water
2043,OR,TITLE-ABS,sustainable exploitation of freshwater
2044,OR,TITLE-ABS,sustainable exploitation of groundwater
2045,OR,AUTHKEY,sustainable exploitation of water
2046,OR,AUTHKEY,sustainable exploitation of fresh water
2047,OR,AUTHKEY,sustainable exploitation of ground water
2048,OR,AUTHKEY,sustainable exploitation of freshwater
2049,OR,AUTHKEY,sustainable exploitation of groundwater
2050,OR,TITLE-ABS,sustainable water
2051,AND,TITLE-ABS,governance
2052,OR,TITLE-ABS,policy
2053,OR,TITLE-ABS,policies
2054,OR,AUTHKEY,sustainable water
2055,AND,AUTHKEY,governance
2056,OR,AUTHKEY,policy
2057,OR,AUTHKEY,policies
2058,OR,TITLE-ABS,sustainable water consumption
2059,OR,AUTHKEY,sustainable water consumption
2060,OR,TITLE-ABS,sustainable use of groundwater
2061,OR,AUTHKEY,sustainable use of groundwater
2062,OR,TITLE-ABS,withdrawals
2063,AND,TITLE-ABS,water*
2064,AND,TITLE-ABS,sustainable
2065,OR,AUTHKEY,withdrawals
2066,AND,AUTHKEY,water*
2067,AND,AUTHKEY,sustainable
2068,OR,TITLE-ABS,water management
2069,OR,TITLE-ABS,water resource management
2070,OR,TITLE-ABS,water resources management
2071,AND,TITLE-ABS,withdrawal
2072,OR,TITLE-ABS,withdrawals
2073,OR,AUTHKEY,water management
2074,OR,AUTHKEY,water resource management
2075,OR,AUTHKEY,water resources management
2076,AND,AUTHKEY,withdrawal
2077,OR,AUTHKEY,withdrawals
2078,OR,TITLE-ABS,rainfall harvest
2079,OR,TITLE-ABS,rainfall harvesting
2080,OR,TITLE-ABS,rain fall harvest
2081,OR,TITLE-ABS,rain fall harvesting
2082,OR,AUTHKEY,rainfall harvest
2083,OR,AUTHKEY,rainfall harvesting
2084,OR,AUTHKEY,rain fall harvest
2085,OR,AUTHKEY,rain fall harvesting
2086,OR,TITLE-ABS,water efficient buildings
2087,OR,AUTHKEY,water efficient buildings
2088,OR,TITLE-ABS,Desalination
2089,AND,TITLE-ABS,water management
2090,OR,AUTHKEY,Desalination
2091,AND,AUTHKEY,water management
2092,OR,TITLE-ABS,irrigation
2093,AND,TITLE-ABS,water consumption
2094,OR,AUTHKEY,irrigation
2095,AND,AUTHKEY,water consumption
2096,OR,TITLE-ABS,water management
2097,OR,TITLE-ABS,water resource management
2098,AND,TITLE-ABS,households
2099,OR,AUTHKEY,water management
2100,OR,AUTHKEY,water resource management
2101,AND,AUTHKEY,households
2102,OR,TITLE-ABS,rainfed farms
2103,OR,TITLE-ABS,rain fed farms
2104,OR,AUTHKEY,rainfed farms
2105,OR,AUTHKEY,rain fed farms
2106,OR,TITLE-ABS,Virtual water
2107,AND,TITLE-ABS,agriculture
2108,OR,TITLE-ABS,agricultural
2109,OR,TITLE-ABS,industrial
2110,OR,TITLE-ABS,industry
2111,OR,TITLE-ABS,industriies
2112,OR,TITLE-ABS,irrigation
2113,OR,TITLE-ABS,sustainability
2114,OR,TITLE-ABS,sustainable
2115,OR,AUTHKEY,Virtual water
2116,AND,AUTHKEY,agriculture
2117,OR,AUTHKEY,agricultural
2118,OR,AUTHKEY,industrial
2119,OR,AUTHKEY,industry
2120,OR,AUTHKEY,industriies
2121,OR,AUTHKEY,irrigation
2122,OR,AUTHKEY,sustainability
2123,OR,AUTHKEY,sustainable
2124,OR,TITLE-ABS,harvest fog
2125,OR,TITLE-ABS,harvesting fog
2126,OR,TITLE-ABS,harvested fog
2127,OR,TITLE-ABS,harvest of fog
2128,OR,TITLE-ABS,harvesting of fog
2129,OR,AUTHKEY,harvest fog
2130,OR,AUTHKEY,harvesting fog
2131,OR,AUTHKEY,harvested fog
2132,OR,AUTHKEY,harvest of fog
2133,OR,AUTHKEY,harvesting of fog
2134,OR,TITLE-ABS,smart groundwater
2135,OR,AUTHKEY,smart groundwater
2136,OR,TITLE-ABS,rural water
2137,OR,AUTHKEY,rural water
2138,OR,TITLE-ABS,irrigation schedule
2139,OR,AUTHKEY,irrigation schedule
2140,OR,TITLE-ABS,water efficient policy
2141,OR,TITLE-ABS,water efficient policies
2142,OR,AUTHKEY,water efficient policy
2143,OR,AUTHKEY,water efficient policies
2144,OR,TITLE-ABS,water efficient
2145,AND,TITLE-ABS,flushing
2146,OR,TITLE-ABS,shower
2147,OR,AUTHKEY,water efficient
2148,AND,AUTHKEY,flushing
2149,OR,AUTHKEY,shower
2150,OR,TITLE-ABS,Desalination
2151,AND,TITLE-ABS,irrigation
2152,OR,AUTHKEY,Desalination
2153,AND,AUTHKEY,irrigation
2154,OR,TITLE-ABS,Desalination
2155,AND,TITLE-ABS,water savings
2156,OR,AUTHKEY,Desalination
2157,AND,AUTHKEY,water savings
2158,OR,TITLE-ABS,Multi-stage flash desalination
2159,OR,TITLE-ABS,Multistage flash desalination
2160,OR,AUTHKEY,Multi-stage flash desalination
2161,OR,AUTHKEY,Multistage flash desalination
2162,OR,TITLE-ABS,water management
2163,OR,TITLE-ABS,water resource management
2164,OR,TITLE-ABS,water resources management
2165,AND,TITLE-ABS,water supply
2166,OR,TITLE-ABS,freshwater supply
2167,OR,TITLE-ABS,groundwater supply
2168,OR,AUTHKEY,water management
2169,OR,AUTHKEY,water resource management
2170,OR,AUTHKEY,water resources management
2171,AND,AUTHKEY,water supply
2172,OR,AUTHKEY,freshwater supply
2173,OR,AUTHKEY,groundwater supply
2174,OR,TITLE-ABS,sustainable water catchment
2175,OR,AUTHKEY,sustainable water catchment
2176,OR,TITLE-ABS,water resources management
2177,AND,TITLE-ABS,industry
2178,OR,TITLE-ABS,industries
2179,OR,TITLE-ABS,industrial
2180,OR,TITLE-ABS,household
2181,OR,TITLE-ABS,households
2182,OR,TITLE-ABS,residential
2183,OR,AUTHKEY,water resources management
2184,AND,AUTHKEY,industry
2185,OR,AUTHKEY,industries
2186,OR,AUTHKEY,industrial
2187,OR,AUTHKEY,household
2188,OR,AUTHKEY,households
2189,OR,AUTHKEY,residential
2190,OR,TITLE-ABS,water Planning
2191,OR,TITLE-ABS,water resources Planning
2192,OR,TITLE-ABS,water resource Planning
2193,AND,TITLE-ABS,irrigation
2194,OR,TITLE-ABS,farming
2195,OR,TITLE-ABS,agriculture
2196,OR,TITLE-ABS,agricultural
2197,OR,TITLE-ABS,industry
2198,OR,TITLE-ABS,industries
2199,OR,TITLE-ABS,industrial
2200,OR,TITLE-ABS,household
2201,OR,TITLE-ABS,households
2202,OR,TITLE-ABS,residential
2203,OR,AUTHKEY,water Planning
2204,OR,AUTHKEY,water resources Planning
2205,OR,AUTHKEY,water resource Planning
2206,AND,AUTHKEY,irrigation
2207,OR,AUTHKEY,farming
2208,OR,AUTHKEY,agriculture
2209,OR,AUTHKEY,agricultural
2210,OR,AUTHKEY,industry
2211,OR,AUTHKEY,industries
2212,OR,AUTHKEY,industrial
2213,OR,AUTHKEY,household
2214,OR,AUTHKEY,households
2215,OR,AUTHKEY,residential
2216,OR,TITLE-ABS,run off farming
2217,OR,TITLE-ABS,runoff farming
2218,OR,AUTHKEY,run off farming
2219,OR,AUTHKEY,runoff farming
2220,OR,TITLE-ABS,water conservation
2221,AND,TITLE-ABS,water storage
2222,OR,AUTHKEY,water conservation
2223,AND,AUTHKEY,water storage
2224,OR,TITLE-ABS,water shortage
2225,AND,TITLE-ABS,irrigation
2226,OR,AUTHKEY,water shortage
2227,AND,AUTHKEY,irrigation
2228,OR,TITLE-ABS,fresh water supply
